episodes,rewards,steps
124,46.0,46
125,22.0,22
126,71.0,71
127,30.0,30
128,130.0,130
129,65.0,65
130,55.0,55
131,37.0,37
132,46.0,46
133,65.0,65
134,31.0,31
135,33.0,33
136,39.0,39
137,73.0,73
138,78.0,78
139,36.0,36
140,56.0,56
141,12.0,12
142,36.0,36
143,13.0,13
144,85.0,85
145,34.0,34
146,16.0,16
147,68.0,68
148,94.0,94
149,17.0,17
150,64.0,64
151,33.0,33
152,63.0,63
153,39.0,39
154,72.0,72
155,39.0,39
156,37.0,37
157,18.0,18
158,55.0,55
159,21.0,21
160,54.0,54
161,46.0,46
162,21.0,21
163,26.0,26
164,70.0,70
165,20.0,20
166,41.0,41
167,77.0,77
168,13.0,13
169,66.0,66
170,72.0,72
171,28.0,28
172,68.0,68
173,124.0,124
174,41.0,41
175,54.0,54
176,33.0,33
177,92.0,92
178,23.0,23
179,76.0,76
180,47.0,47
181,89.0,89
182,84.0,84
183,75.0,75
184,64.0,64
185,35.0,35
186,44.0,44
187,46.0,46
188,67.0,67
189,82.0,82
190,55.0,55
191,26.0,26
192,116.0,116
193,116.0,116
194,119.0,119
195,50.0,50
196,43.0,43
197,47.0,47
198,71.0,71
199,53.0,53
200,137.0,137
201,82.0,82
202,120.0,120
203,69.0,69
204,55.0,55
205,62.0,62
206,64.0,64
207,49.0,49
208,32.0,32
209,42.0,42
210,50.0,50
211,93.0,93
212,60.0,60
213,54.0,54
214,68.0,68
215,84.0,84
216,55.0,55
217,70.0,70
218,115.0,115
219,149.0,149
220,68.0,68
221,50.0,50
222,56.0,56
223,61.0,61
224,117.0,117
225,66.0,66
226,127.0,127
227,66.0,66
228,48.0,48
229,36.0,36
230,79.0,79
231,49.0,49
232,55.0,55
233,41.0,41
234,20.0,20
235,40.0,40
236,120.0,120
237,27.0,27
238,51.0,51
239,35.0,35
240,43.0,43
241,54.0,54
242,52.0,52
243,47.0,47
244,63.0,63
245,29.0,29
246,36.0,36
247,58.0,58
248,63.0,63
249,49.0,49
250,70.0,70
251,114.0,114
252,62.0,62
253,73.0,73
254,62.0,62
255,61.0,61
256,115.0,115
257,50.0,50
258,128.0,128
259,200.0,200
260,75.0,75
261,64.0,64
262,33.0,33
263,90.0,90
264,117.0,117
265,60.0,60
266,177.0,177
267,39.0,39
268,40.0,40
269,109.0,109
270,100.0,100
271,99.0,99
272,136.0,136
273,62.0,62
274,100.0,100
275,73.0,73
276,166.0,166
277,74.0,74
278,126.0,126
279,111.0,111
280,198.0,198
281,106.0,106
282,80.0,80
283,74.0,74
284,114.0,114
285,69.0,69
286,98.0,98
287,63.0,63
288,61.0,61
289,49.0,49
290,89.0,89
291,114.0,114
292,103.0,103
293,103.0,103
294,93.0,93
295,137.0,137
296,97.0,97
297,124.0,124
298,147.0,147
299,125.0,125
300,105.0,105
301,113.0,113
302,120.0,120
303,159.0,159
304,190.0,190
305,119.0,119
306,200.0,200
307,148.0,148
308,200.0,200
309,79.0,79
310,115.0,115
311,147.0,147
312,112.0,112
313,125.0,125
314,184.0,184
315,193.0,193
316,117.0,117
317,153.0,153
318,125.0,125
319,184.0,184
320,173.0,173
321,117.0,117
322,47.0,47
323,107.0,107
324,104.0,104
325,114.0,114
326,90.0,90
327,112.0,112
328,70.0,70
329,74.0,74
330,159.0,159
331,39.0,39
332,129.0,129
333,50.0,50
334,74.0,74
335,31.0,31
336,57.0,57
337,71.0,71
338,43.0,43
339,41.0,41
340,64.0,64
341,38.0,38
342,45.0,45
343,120.0,120
344,40.0,40
345,46.0,46
346,57.0,57
347,29.0,29
348,29.0,29
349,50.0,50
350,38.0,38
351,51.0,51
352,49.0,49
353,30.0,30
354,40.0,40
355,45.0,45
356,68.0,68
357,27.0,27
358,18.0,18
359,26.0,26
360,15.0,15
361,65.0,65
362,38.0,38
363,41.0,41
364,61.0,61
365,113.0,113
366,39.0,39
367,60.0,60
368,134.0,134
369,122.0,122
370,34.0,34
371,129.0,129
372,40.0,40
373,128.0,128
374,200.0,200
375,108.0,108
376,108.0,108
377,151.0,151
378,79.0,79
379,105.0,105
380,87.0,87
381,94.0,94
382,112.0,112
383,200.0,200
384,184.0,184
385,124.0,124
386,200.0,200
387,200.0,200
388,109.0,109
389,88.0,88
390,104.0,104
391,200.0,200
392,84.0,84
393,187.0,187
394,182.0,182
395,148.0,148
396,86.0,86
397,200.0,200
398,199.0,199
399,200.0,200
400,92.0,92
401,112.0,112
402,86.0,86
403,114.0,114
404,90.0,90
405,101.0,101
406,111.0,111
407,107.0,107
408,120.0,120
409,114.0,114
410,97.0,97
411,95.0,95
412,126.0,126
413,111.0,111
414,120.0,120
415,178.0,178
416,97.0,97
